Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Question,Description
Question 1,question-1,63dfdf9f3700f04e88ce0ce4,63dfdfeadd1066db55333ab8,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What are some of your fondest memories from when I was a child?,
Question 10,question-10,63dfdf9f3700f04e88ce0ce4,63dfdfea10d0b92dfc558a1f,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What have been some of the highlights of our family's life together so far?,
Question 11,question-11,63dfdf9f3700f04e88ce0ce4,63dfdfeadd10665d2a333aba,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),How have you seen me grow and change over the years?,
Question 12,question-12,63dfdf9f3700f04e88ce0ce4,63dfdfea0c95fccc9c254ac7,Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:14 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What do you wish you could have taught me when I was younger?,
Question 13,question-13,63dfdf9f3700f04e88ce0ce4,63dfdfeb6f6edd600173a071,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),How have you balanced being a parent and pursuing your own interests and goals?,
Question 14,question-14,63dfdf9f3700f04e88ce0ce4,63dfdfeb8b6096672c40b6ce,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What have you learned about life through raising me?,
Question 15,question-15,63dfdf9f3700f04e88ce0ce4,63dfdfebd2a0eb39e4f4b5c5,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What are your thoughts on the role of technology in our lives and how it affects our relationships with others?,
Question 16,question-16,63dfdf9f3700f04e88ce0ce4,63dfdfebcc6c48605d4a7157,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What is one piece of advice you would give to me as I navigate adulthood?,
Question 17,question-17,63dfdf9f3700f04e88ce0ce4,63dfdfeb11b873eb19b165e4,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),How have you and your own parents maintained a strong relationship over the years?,
Question 18,question-18,63dfdf9f3700f04e88ce0ce4,63dfdfebd3e9be231b839eff,Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 16:57:15 GMT+0000 (Coordinated Universal Time),Sun Feb 05 2023 18:23:17 GMT+0000 (Coordinated Universal Time),What have been some of the biggest sacrifices you have made as a parent?,
